 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 19
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.513275E+09   0.226556E+05   0.360575E+04
    2   0.513275E+09   0.226556E+05   0.360575E+04
    3   0.181452E+11   0.134704E+06   0.214388E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      1001  0.0000E+00  0.0000E+00  0.0000E+00
      1002  0.7115E-03  0.4374E-03  0.1871E-03
      1003  0.1439E-02  0.1712E-02 -0.3943E-05
      1004  0.2116E-02  0.3842E-02 -0.3020E-03
      1005  0.2737E-02  0.6712E-02 -0.7088E-03
      1006  0.3298E-02  0.1027E-01 -0.1211E-02
      1007  0.3810E-02  0.1445E-01 -0.1797E-02
      1008  0.4265E-02  0.1918E-01 -0.2457E-02
      1009  0.4670E-02  0.2442E-01 -0.3185E-02
      1010  0.5021E-02  0.3008E-01 -0.3971E-02
      1011  0.5325E-02  0.3613E-01 -0.4808E-02
      1012  0.5579E-02  0.4249E-01 -0.5687E-02
      1013  0.5791E-02  0.4912E-01 -0.6602E-02
      1014  0.5959E-02  0.5596E-01 -0.7544E-02
      1015  0.6092E-02  0.6298E-01 -0.8509E-02
      1016  0.6188E-02  0.7012E-01 -0.9488E-02
      1017  0.6256E-02  0.7735E-01 -0.1048E-01
      1018  0.6298E-02  0.8464E-01 -0.1148E-01
      1019  0.6321E-02  0.9196E-01 -0.1248E-01
      1020  0.6331E-02  0.9929E-01 -0.1347E-01
      1021  0.6334E-02  0.1066E+00 -0.1447E-01
      1051  0.0000E+00  0.0000E+00  0.0000E+00
      1053  0.5959E-03  0.1636E-02 -0.1331E-03
      1055  0.1142E-02  0.6653E-02 -0.8220E-03
      1057  0.1596E-02  0.1440E-01 -0.1889E-02
      1059  0.1958E-02  0.2438E-01 -0.3257E-02
      1061  0.2235E-02  0.3610E-01 -0.4861E-02
      1063  0.2433E-02  0.4910E-01 -0.6637E-02
      1065  0.2561E-02  0.6297E-01 -0.8530E-02
