 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 16
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.510280E+09   0.225894E+05   0.359521E+04
    2   0.510935E+09   0.226039E+05   0.359752E+04
    3   0.183397E+11   0.135424E+06   0.215534E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      1001  0.0000E+00  0.0000E+00  0.0000E+00
      1002  0.6293E-03  0.1383E-03  0.3932E-03
      1003  0.1308E-02  0.1545E-03  0.1419E-02
      1004  0.1896E-02  0.7830E-04  0.3131E-02
      1005  0.2451E-02 -0.1172E-04  0.5436E-02
      1006  0.2945E-02 -0.1228E-03  0.8271E-02
      1007  0.3401E-02 -0.2469E-03  0.1161E-01
      1008  0.3799E-02 -0.3889E-03  0.1537E-01
      1009  0.4161E-02 -0.5402E-03  0.1954E-01
      1010  0.4467E-02 -0.7054E-03  0.2405E-01
      1011  0.4740E-02 -0.8769E-03  0.2886E-01
      1012  0.4960E-02 -0.1059E-02  0.3391E-01
      1013  0.5151E-02 -0.1244E-02  0.3918E-01
      1014  0.5296E-02 -0.1436E-02  0.4462E-01
      1015  0.5416E-02 -0.1629E-02  0.5019E-01
      1016  0.5498E-02 -0.1826E-02  0.5586E-01
      1017  0.5560E-02 -0.2023E-02  0.6161E-01
      1018  0.5595E-02 -0.2220E-02  0.6739E-01
      1019  0.5617E-02 -0.2416E-02  0.7321E-01
      1020  0.5624E-02 -0.2610E-02  0.7902E-01
      1021  0.5627E-02 -0.2803E-02  0.8485E-01
      1051  0.0000E+00  0.0000E+00  0.0000E+00
      1052  0.6525E-03  0.6941E-04  0.4427E-03
      1053  0.1337E-02  0.5848E-04  0.1499E-02
      1054  0.1934E-02 -0.7666E-05  0.3204E-02
      1055  0.2497E-02 -0.9166E-04  0.5504E-02
      1056  0.2999E-02 -0.1947E-03  0.8333E-02
      1057  0.3463E-02 -0.3130E-03  0.1166E-01
      1058  0.3868E-02 -0.4467E-03  0.1543E-01
      1059  0.4236E-02 -0.5922E-03  0.1959E-01
      1060  0.4547E-02 -0.7495E-03  0.2409E-01
      1061  0.4824E-02 -0.9155E-03  0.2889E-01
      1062  0.5048E-02 -0.1090E-02  0.3394E-01
